name, num
21 Tobacco Shop And More,1246
252 Tobacco LLC,1170
252 Tobacco Shop llc,1200
258 Food Mart,1153
301 Convenient Mart,1086
301 Market,1000
421 VAPER & TOBACCO INC,1239
5 Point Food Mart,1307
919 VAPER & TOBACCO INC,1240
919 VAPOR & ACCESSORIES INC,1238
A 2 Z Durham Wholesal Corp,1115
A J Food Mart,1097
A M STATION,1190
A&W Mini Mart,1204
AAA Express,1295
Aby Fam Inc,1214
ADAM'S VAPE & TOBACCO SHOP INC,1267
Ahoskie Tobacco House Inc,1118
AL CAPONE INTER CONTINENTAL CIGAR C,1098
ALI GROCERY,1001
Amigo Tobacco Shop,1129
Antigues and Tobacco inc,3035
Antiques and Tobacco inc.,1291
Antiques and Tobacco Inc.,1279
ARCOLA GROCERY,1042
Arnolds Convenient Mart,1074
B & B GROCERY,1053
Beauty Land,1063
Beauty Land (D),1083
Beauty World,1087
Belvoir Cornerstop,1002
Benson Tobacco Inc,1144
Big Al's Mini Mart LLC  # 2,1095
Big Al's Mini Mart LLC #1,1096
Big Mike,1029
Billy's Grocery,1125
BOB TOBACCO INC,1133
BOBBITT GROCERY,1084
Bobby s Supermarket,1003
Bobby's Grocery,1254
Bobbys Celle & Smoke Shop llc,1180
BOUTIGUE PARISIENNE,1301
Bridger Mini Mart,1251
Broad Street Mart,1078
BROOK SIDE MART INC,1055
Brother's Food Market,1124
Brother's Tobacco #2,1186
Brothers Store,1183
Browns Mini Mart,1253
Buy & Go # 7,1104
Buy & Go #6,1101
C&J TOBACCO & WIRELESS INC,1089
Campus Mart,1114
CASTLE HAYNE TOBAACCO SHOP LLC,1235
Castle Hayne Tobacco Shop,1285
Centerville Grocery,1137
Champion mini mart Inc,1198
Choco Tobacco Shop,1245
CITY DOLLARS,1005
City Gas,1195
City Stop #2,1257
City Stop 1,1255
City Tobacco & Vape Inc,1184
Clinton Wireless llc,1265
Cloud 9 #2,1282
Cloud 9 Vapor,1148
Cokeys Supermarket,1006
College Station Food inc,1236
Conway Food And Deli,1270
Corner Stop,1057
Country Store at Rocky Hock Inc,1232
Cross Roads,1093
Currie Mini Mart,1205
D D Mart,1273
D ONE STOP,1037
D S Drive Thru,1197
D&M marks food market inc,1277
D&T Quick Mart,1120
Dawson Food Mart,1112
Dee Spot,1049
Dixie Mart LLC,1173
DJA Wholesales,1193
Dokman  Inc,1152
Dream Beauty And Tobacco,1212
DUKE'S FOOD MART,1007
EA BARGAIN,1008
El Pueblito Market LLC,1297
Enfiedld Mart llc,1274
Eureka Mini Mart,1140
Exotic N INC,1276
Express Mini Mart *,1100
Express Way  Inc,1009
EZ MART & GRILL,1010
Ez Pass Tobacco & Drive Thru LLC,1168
Ez Stop,1228
Fairhaven Mini Mart,1105
FAIRVIEW MART.INC,1011
Faulkner's LLC,1138
Finest Food Mart & Deli,1166
Finest Tobacco And Vape,1134
FINEST TOBACCO SHOP INC,1062
Five Star Fuels LLC,1126
Five Star Grocery Inc,1080
FLAGS FOOD MART,1012
food andstuff,1013
Food Mart # 1,1160
Four Corners Food Mart,1178
Friendly Mart Sharpsburg,1014
Friendly Way,1015
Friends Market Inc,1157
FROG CROSSING INC,1258
Furwan Tobacco House LLC,1164
G Rock Smoke Shop,1155
G&S COUTRY STORE INC,1217
Gaston Food Mart,1016
GNS EXPRESS MART,1017
Gns Express Mart #2,1171
Gold Moore,1020
Gold Rock Food Mart,1018
GOOD TIMES USA  LLC,1019
Green Grocery,1094
GREEN LAND INC,1223
Greystone,1021
H & K Market,1203
H 2 T Hve Lounge,1092
Halifax Super Market ***,1230
Handy Mart,1067
HARNETT SUPER MARKET INC,1022
Haven Smoke Vape Hemp,1306
Henderson Food Mart,1024
Henderson Pit Stop,1090
House,1139
Howard's Seafood & Convnt Store,1108
I ke Tbacco llc,3034
I&N MINI MART,1025
Ike Tobacco LLC,1231
In & Out Food Mart ***,1182
In & Out II,1026
In & Out Quick Mart,1085
In And Out III,1027
Information Grocery inc,1189
J & A IMPORTS INC,1073
J&A Convenience & Tobacco,1221
J-QUEE`S LLC,1260
Jays mart,1159
JD's Grocery and Grill,1283
Jeffrey's Road Food Mart,1300
JIMMY`S Al Wadai llc,1179
JORDAN TOBACCO & VAPE OF NC INC,1261
Journigan's Food Stores,1147
JPJ Mart,1145
K 1 TOBACCO SHOP LLC,1121
K&D Mini mart Inc,1123
K&H Market llc,1266
K-1 Tobacco & Vape,1117
Kangaroo,1250
Karim Trading LL`S,1290
King Deil Plus,1185
King Tobacco And Vape,1136
KITRELL GAS STATINON,1028
KREECH LLC,1207
Kwik Stop Food Mart,1208
L&B Pitstop LLC,1244
LA Smoken Tobacco,1065
Lewiston Citgo,1243
Lighthouse Food Mart,1056
Linse Lighters,1259
Luxury Tobacco inc,1264
M & H  INC,1077
M & M Food Market,1109
M B Super Discount,1156
Manning General Merchandise LLC,1289
Mar Mac Mart,1142
Mario Wholesale,1082
MAYER SUPER MARKET,1030
Mceachin Group INC,1031
Mega Supermarket,1215
METRO MART,1032
METRO MART #3,1294
Metro Mart LLC,1076
METRO MART#3,3038
Middle East Grocery & Tobacco LLC,1141
Midway Family Food Mart,1033
Mike's Food Mart,1034
Mini Mart*,1045
MJ Pit Stop,1161
Moes Grocery & Grill,1242
Moes Variety Pickup,1066
Moore's Convenient Mart,1054
Moors,1128
MOUNT TOBACCO SHOP,1061
MR Puffer Durham inc,1269
Mr Tobacco *,1107
MSL MINI MART,1248
My Stop Inc,1131
Nabdel LLC,1122
NASH TOBACCO AND VAPE INC,1192
Nashville  Supr Market,1035
NATION VAPOR & TOBACCO INC,1241
National Food Mart,1113
NEALS ENTERPRISSE LLC *,1202
Neighborhood Grocery,1036
New Daves Place,1091
New York Mini Mart,1111
NEW YORK TOBACCO & VAPOR,1209
North Kerr Mini Mart,1102
Northside Market,1110
NZ Tobacco & Vape of Louisburg LLC,1287
Oakes Service Center,1143
On & On Mini Mart,1281
One HOP Food Mart,1069
One Stop Mini Mart,1150
OXFORD FOOD MART,1038
PARTY PICK UP,1039
PARTY WORLD,1070
Pic Quick,1079
Planet Vape Inc,1247
Price Down Food Mart,1099
Prince Mini Mart,1103
Puff N' Stuff,1196
Q Tobacco Inc,1163
Q Tobacco Inc DBA Pirates Pit Stop,1218
QUICK MART T- SHERT hazem,1023
Quick Shop,1106
Quick Shoppe,1211
Quick Stop (Scotland Neck),1081
R & R Smoke Shop,1229
R & S Quick Mart,1220
Raceway Petroleum,1262
Rames Inc,1302
Red Apple Market,1201
Riley Hill Mart Inc,1278
RINGWOOD MART,1041
Rocky Mount Drive Thre LLC,1154
Royall Convenience Daily,1072
Russell's Quik Stop,1162
S & N Plus,1272
Sabaa Grocery & Grill LLC,1130
Safeway Food Mart,1172
SAINE FASCHING INC,1132
Sam Food Mart,1165
Sam Supperette 2,1191
Sammy Super Mart,1071
Sammy Tobacco&Vape Inc.,1224
Sams wholesale company,1169
Save U Time,1040
Second Wind Thrift Store,1177
Shadetree Vapes,1149
Sherlocks Glass Arts Gallery,1280
Shop Rite LLC,1268
Silver Lake Market,1296
SINJIL INC.,1146
SIX FORKS EXXON LLC,1219
Skibo's Smoke Shop,1275
SKY Tobacco & Vape,1249
Slice Of Italy LLC,1305
Slick Tobacco,1213
Smart Stop,1068
Smoke & Tech Of Rocky Mount,1237
Smoke Choice,1119
SMOKE HUT  #1,1234
SMOKE HUT  #2,1233
SMOKE KINGS 2 INC,1216
Smokers Hut LLC,3037
Smokers Hut llc .,1292
SOUTH MAIN MART,1043
Southern Mart #2,1175
Speed Mart (Siddhi Vinayak Dev INC,1060
Speedy Mart,1284
Stantonsburg Friendy Mart,1088
Star One Tobacco & Convenience,1304
Stenoura,1047
STEP ONE FOOD MART,1044
Step One Food Mart *,1187
Stop & Shop,1135
Stop N Go inc,1174
Sugar Hill Fashions,1116
Super Fast Drive Thru,1127
SUPER FAST LANES,1194
SWEET JIMMY INC BEST WAY,1064
SWEET JIMMY MARKET & DELI,1059
T & N Tobacco And Vape inc,1252
TAR HEEL,1046
Terry's Convenient Mart,1004
The Campus Store Inc,1303
The Copboard Food Store,1188
THE LUCKY DEN*,1210
THE RIGHT STOP  (1 ),1048
The Smart Stop,1226
Tim's Convenience Store,1058
Tobacco & Beauty,1263
Tobacco & Vape,1222
Tobacco & Vape Rolesville,1199
Tobacco Outlet Plus,1052
Tobacco Plus,1075
Tobacco Shop   U S 1,1050
Top 10 Tobacco LLc,3036
Top 10 Tobacco LLc.,1293
Town And Country,1167
Triple J,1158
Turners Grocery,1176
Vaughan Grocery,1271
Washington St Cigar Bar and Lounge,1298
Weldon Super Market,1286
Westside Grocery,1051
Whitakers Food Center,1181
Willamston Food Mart,1256
WILLI'S MINI MART,1206
WORLD VAPE INC,1299
Wrightsville Country Store,1151
Xhale Tobacco & Vape LLC,1225
Xpeedy Mart Inc,1227
ZAZA TOBACCO OF RR LLC,1288